id_restaurant,name,city,rating,num_of_reviews,category
0x80834d912af3ed6b:0xe66729be2d813682,El Tamborazo Restaurant,Gridley,2.1,29,['Mexican restaurant']
0x8083649575eace47:0x4ccdce68ed449e7b,Los Potrillos Restaurant,Colusa,2.4,11,['Mexican restaurant']
0x80836ab388fe6d3f:0xb5a46b89f054771b,El Cazador,Princeton,3.0,30,['Mexican restaurant']
0x80838bda1d5011d3:0x633b934a24c9419a,Cabos Mexican Restaurant,Clearlake,2.1,238,['Mexican restaurant']
0x80841656830b72fd:0x8d363e65d702eff6,Rancho Medrano,Healdsburg,1.8,31,['Mexican restaurant']
0x8084378a90e6f92b:0x934f879e1e625c75,Taqueria Santa Rosa,Santa Rosa,1.5,33,"['Mexican restaurant', 'Latin American restaurant']"
0x80843a0b02c2eec7:0xa91a229705191a4a,El Tarasco Restaurant,Sebastopol,2.7,48,['Mexican restaurant']
0x80843de2e845eca7:0x2420c3552976bfff,Aztec Grill,Santa Rosa,1.6,14,['Mexican restaurant']
0x8084475e822d6ce5:0x9db5966b4024ca81,Mi Ranchito Downtown,Santa Rosa,2.2,14,['Mexican restaurant']
0x808447c4c6aa9f53:0x3ad49deb5a6f3d31,La Doña Mexican Cuisine & Bar,Santa Rosa,1.6,40,['Mexican restaurant']
0x808447e279a52873:0x29c4876f5fabcbb5,Taco Chido,Santa Rosa,2.3,11,['Mexican restaurant']
0x808448102642877b:0x4b904588dc77ec34,Aztec Grill,Santa Rosa,2.0,52,['Mexican restaurant']
0x8084481f2058edfb:0xf528f5c811650609,Mi Lindo Michoacan,Santa Rosa,1.6,12,['Mexican restaurant']
0x80844828cced5191:0xd24f2f1a3c1150c,Taqueria Mila,Santa Rosa,2.1,44,['Mexican restaurant']
0x80844a01be660f09:0x661fee46237228d7,El Torito,Burbank,1.7,20,['Mexican restaurant']
0x80844a7d0e1af013:0x4fd4a7da2bc0516a,Cotija's | Mexican Restaurant,Cotati,2.9,40,['Mexican restaurant']
0x80844aff3f23f7b5:0x4781129521c825f8,Taco Bell,Alameda,1.2,202,['Mexican restaurant']
0x80844b153b1c9b37:0xee8ca5bf5056f238,La Hoya Mexican Restaurant,Rohnert Park,2.3,40,['Mexican restaurant']
0x8084ab5fd711abf7:0xe1b7149620c4201b,Antonio's Quick Lunch,Yuba City,1.6,17,['Mexican restaurant']
0x8084d08d17334517:0x77b5f52f35235ada,La Pasadita,Woodland,1.5,36,['Mexican restaurant']
0x8084d0df63f433f1:0xf92475947d5a532e,La Roca Restaurant,Woodland,2.2,26,['Mexican restaurant']
0x8084d0f3049e73b3:0x89621e8b1d3518e6,La Superior Mercados,Woodland,1.4,52,['Mexican restaurant']
0x8084d11d87e6ca5b:0x860f01255a64c053,Foodtruck,Woodland,2.4,25,['Mexican restaurant']
0x8084d1be8ce16a85:0xa204cd7c440d377a,Taquitos la bombonera 2,Woodland,2.9,41,['Mexican restaurant']
0x8085063c192f4b95:0xed22f95c27ef14cc,Valencia Market y Taqueria,Napa,1.9,52,['Mexican restaurant']
0x8085142679cc58e9:0x1ddb1cac0a0c4873,Taco Bell,Alameda,1.0,27,['Mexican restaurant']
0x8085259b6b3fa735:0x1521aa6c5595ffb8,Pedro's Cocina,Dixon,2.6,100,['Mexican restaurant']
0x80853d1cbf061f6d:0xdd0ca52b71f3eb64,Healthy Life Shakes,Vacaville,3.2,38,['Mexican restaurant']
0x80853d442ed7a6fb:0xfafcc886c6ba52be,Del Taco,Bakersfield,1.6,592,['Mexican restaurant']
0x80853e42d272e4d3:0xf4083c53811686b0,Hecho En Mexico Taqueria,Fairfield,2.4,70,['Mexican restaurant']
0x80853f3d5bd8771f:0x747493612158f7a0,Taqueria Durango,Fairfield,2.9,40,['Mexican restaurant']
0x808555e4973fd97f:0xaad4e213ac68f0d1,La Barca Market,Oakley,3.2,11,['Mexican restaurant']
0x8085577cb3ea4521:0x798e957769e6e677,Inka Palace Peruvian Restaurant,Antioch,2.0,25,['Peruvian restaurant']
0x808559191e29ab3d:0xfd9d9bb08e53a85a,El Calabozo Taqueria,Antioch,1.8,33,['Mexican restaurant']
0x80855956fedf6e31:0xe881480205586b2f,Birrieria El Puente,Pittsburg,1.8,61,['Mexican restaurant']
0x8085598cc6b7e123:0xd9cf6d3363334cbb,Taqueria Corral,Antioch,2.4,10,['Mexican restaurant']
0x808559984e3d6ebd:0x8bfc615cf1dd1dfd,Taqueria Plaza Mexico,Antioch,1.7,17,['Mexican restaurant']
0x80855c5a846056bb:0xf30caee1f40afa50,Birrieria Y Taqueria Yahualica,Bay Point,1.9,60,"['Mexican restaurant', 'Latin American restaurant']"
0x808561330a6423db:0xb1ad87c127d03f0a,Dia Y Noche,Walnut Creek,2.8,24,['Mexican restaurant']
0x8085618c7725c26f:0xe1714ac63baf6ab1,Patron Mexican Grill,Walnut Creek,2.7,11,['Mexican restaurant']
0x808561e2804b4169:0xeeb39fc938253553,Sol y Luna Cocina Mexicana,Pleasant Hill,3.4,24,['Mexican restaurant']
0x8085624546814dab:0xebd928367c221571,Market Cocina,Lafayette,1.9,20,['Mexican restaurant']
0x80856f4a31606d85:0xde98d49067860277,JALAPEÑOS MEXICAN FOOD TACO TRUCK,Benicia,2.4,10,['Mexican restaurant']
0x80856f8aa27c8cd1:0x34eb2e6bc6411ad,Ranchero Catering,Benicia,2.3,12,['Mexican restaurant']
0x808573151f191add:0xe665697b244c49c2,Vecinas Mexican Restaurant,Vallejo,2.6,26,['Mexican restaurant']
0x80857365d0296b79:0xd6199e5b798733d6,El Nopal,Vallejo,2.6,36,"['Mexican restaurant', 'Latin American restaurant']"
0x808577833d885261:0x10ebf4ddbb3106af,KALIENTE RESTAURANT,El Sobrante,2.2,159,['Mexican restaurant']
0x808577b7cbc715eb:0x21acf8999471a263,Cazuelas Grill,Richmond,1.9,25,"['Latin American restaurant', 'Mexican restaurant']"
0x808577fadc22e1a7:0xe06a55612ba03024,San Pablo Billiards,San Pablo,1.8,19,['Mexican restaurant']
0x808578048f6ec05b:0x882d398c7e714134,El Kora,Richmond,2.2,22,['Mexican restaurant']
0x8085784fbe31dc5b:0x717667cec5307c54,Trevino's,El Cerrito,2.4,17,['Mexican restaurant']
0x80857901d5f10fef:0x450a1828629f9626,Quetzal taqueria and antojitos,Richmond,2.0,34,['Mexican restaurant']
0x80857921028ea34d:0xe79e30ef29ca8a96,Inca's Palace,Richmond,1.9,44,['Peruvian restaurant']
0x80857d2c3292d9e5:0x6c83402b4d49d242,Maya Mexican Grill,Orinda,2.3,39,['Mexican restaurant']
0x80857db11aacd967:0xe28d8aa53011c39c,Best Coast Burritos,Oakland,1.6,37,['Mexican restaurant']
0x80857e23cc12a301:0x11b2644d041eb34a,Tacos Panzon,Oakland,3.6,22,['Mexican restaurant']
0x80857e7ef9d5df71:0x533609721c01ad53,Flacos,Berkeley,2.5,394,"['Latin American restaurant', 'Mexican restaurant']"
0x80857e7f51885305:0xd0b8eb4feb2f943c,Los Cilantros,Berkeley,2.6,69,['Mexican restaurant']
0x80857e7f53d0eb5d:0xce1ea5d76c5374b5,Restaurant Cafe Valparaiso,Albany,3.1,36,['Chilean restaurant']
0x80857e98f34a18af:0xe3ee31359397ddf3,Baiano Pizzeria - Berkeley,Berkeley,2.3,11,['Brazilian restaurant']
0x80857f2321e9b617:0x514b74a0fce069bf,Las Cabañas Mexican Grill & Taqueria,Berkeley,3.1,25,['Mexican restaurant']
0x80857fbda338b53d:0xc68d4f134b55be7e,Tacos la Perla,Oakland,3.0,32,['Mexican restaurant']
0x80858063d2dc4505:0x71ac3d97544a9bd5,Cantina Verde,San Francisco,2.0,116,['Mexican restaurant']
0x808580641d5cb4bb:0x63f86b6229618526,Una Mas Mexican Grill,Livermore,2.0,18,['Mexican restaurant']
0x80858064552c81cb:0x12aa423ab3c2bf0a,Pepe's Taqueria,San Francisco,1.5,12,['Mexican restaurant']
0x8085809ec5ba853b:0x98bc09f98ab954fa,Tacos Cala,San Francisco,2.6,23,['Mexican restaurant']
0x808580d086a5fb5d:0x295e9f555b9a5efc,Tacko,San Francisco,2.2,416,['Mexican restaurant']
0x808581aa536fd69f:0xffb85651cc7f0424,Otra,San Francisco,3.0,12,['Mexican restaurant']
0x808581c3fc8480e3:0x1b55e5466792c8e7,El Capitan Taqueria,San Francisco,1.9,40,['Mexican restaurant']
0x808581e66a13303d:0xd93dfe5fcee82e75,Akna,San Francisco,3.1,17,['Mexican restaurant']
0x808587b71783f245:0x63c1597642f18402,Casa Barajas,San Francisco,2.7,21,['Mexican restaurant']
0x808597002661a703:0xf661bfb9ce3f2a5d,Pancho Villas Restaurant,Fairfax,1.8,10,['Latin American restaurant']
0x808597119c58cf09:0x84e246c4f6de86e3,High Tech Burrito - San Anselmo,San Anselmo,2.2,44,"['Mexican restaurant', 'Latin American restaurant']"
0x80859d5f5710d0df:0x2bdb1734c0aff368,Pupuseria La Paz,San Pablo,1.5,26,['Mexican restaurant']
0x8085b1538b874e1f:0xf73d480191604e59,La Hacienda Petaluma,Petaluma,2.1,80,['Mexican restaurant']
0x8085bd3300203e1f:0x41bd6f9197be6960,Taqueria La Fiesta,Novato,2.2,24,"['Mexican restaurant', 'Latin American restaurant']"
0x808de40288f7540d:0x86ee6b02be30b0cf,Taqueria Del Mar,Monterey,2.3,58,['Mexican restaurant']
0x808de4238237be95:0x35c69b5314a57a94,Turtle Bay Taqueria,Monterey,1.6,40,['Mexican restaurant']
0x808de4f0f70e4923:0x3c79b86c329e7a7e,Rosa La Villa Restaurant,Seaside,2.6,11,['Mexican restaurant']
0x808de500c0b02455:0xb33aab4564393b9b,Cult Taco,Monterey,2.4,53,['Mexican restaurant']
0x808df89d4eae485d:0x600fa31aecf5a4e6,El Milagro Restaurant # 2,Salinas,1.6,32,['Mexican restaurant']
0x808df89de8c741f5:0xd4b63fe17679eb2f,Taqueria Jalisco,Los Angeles,1.8,100,"['Mexican restaurant', 'Latin American restaurant']"
0x808df8c51ff0572b:0xcaf3f0f313c9a92b,Vargas Food & Beer,Salinas,2.6,17,['Mexican restaurant']
0x808df8d6db044809:0x3d720cbf7ad01761,Carlito's Restaurant,Salinas,2.2,30,['Mexican restaurant']
0x808df8ea6640835f:0xc8b620627466adee,Doña Leo Restaurant,Salinas,1.8,22,['Mexican restaurant']
0x808df9dfe15db6d5:0xb632084246fd6d75,"Lopez Fine Wines Liquor & Taqueria, Toro Park",Salinas,2.8,20,['Mexican restaurant']
0x808e070c277659bb:0xe290e514c5371dad,La Bendición Taqueria y Restaurant,Castroville,1.9,21,['Mexican restaurant']
0x808e152f208dd59b:0x24547d1a27063234,Tacos Moreno 3,Capitola,2.9,12,['Mexican restaurant']
0x808e1ad20ced54b9:0x7bb67233f7985867,Casamigo Restaurant,Watsonville,1.9,19,['Mexican restaurant']
0x808e1ae419961f89:0x7d9566c5dae68559,La Buena Taqueria and More,Watsonville,2.1,77,['Mexican restaurant']
0x808e1b1251d3eaed:0xd19c7f2a94762fe1,Lalo's Mexican Antojitos,Watsonville,2.3,23,['Mexican restaurant']
0x808e1b2304c6ac6f:0x78a2beb89d6260e5,Delicias Taqueria,Watsonville,2.3,201,"['Mexican restaurant', 'Latin American restaurant']"
0x808e1b2463a02a57:0xc2b4a493fcf6b0f,D'Angelo's Mexican Restaurant,Watsonville,2.3,10,['Mexican restaurant']
0x808e1b3148b2a4b9:0xf1f9dfae73f01527,Camino Real Café,Pajaro,2.3,74,"['Mexican restaurant', 'Latin American restaurant']"
0x808e1b316e9229f1:0x934b8e9a59d02790,Real Colima 1 Restaurant,Pajaro,2.0,97,['Mexican restaurant']
0x808e1b3d336a074d:0xa6bbd559d692d670,Tacos El Jalicience 3,Watsonville,2.0,40,['Mexican restaurant']
0x808e1b3d9d0cd9b5:0x22571e175c825fa5,La Esperanza Mariscos,Watsonville,1.4,22,['Mexican restaurant']
0x808e208b38a1e1a3:0x2e8a26f20898407c,Jalisciense Restaurant,Morgan Hill,1.8,54,['Mexican restaurant']
0x808e2e0260fc8549:0x4245b7e032bab36,Tacos El Pollo y El Pollito,San Jose,2.1,64,['Mexican restaurant']
0x808e2e0302fc1f5b:0xa25b5664723ab775,Birrieria El Primo,San Jose,1.8,109,['Mexican restaurant']
0x808e2fb181f272e3:0xa020cc61af3cb60e,El Burrito Loco Taco Truck,San Jose,2.5,26,['Mexican restaurant']
0x808e31ed56832b03:0x7cf3622892ff571b,Los Cubanos Restaurant,San Jose,3.6,10,"['Cuban restaurant', 'Caribbean restaurant']"
0x808e321a517db12f:0x3ea4f7369f939d5f,Los Nopales Restaurant,San Jose,1.5,13,['Mexican restaurant']
0x808e329fe1782ccb:0x994d1a6961aba103,Elma’s Taqueria,San Jose,1.9,120,['Mexican restaurant']
0x808e32d04fa6db7d:0xeb033ed12f6eea66,Viva Michoacán Restaurant,San Jose,1.9,48,['Mexican restaurant']
0x808e333b7a62d209:0x63650c6849eb664e,Ricos Tacos El Guero,San Jose,2.3,20,['Mexican restaurant']
0x808e3356209950d3:0x300e8412960d6ee1,Puerto Azul Restaurant,San Jose,2.0,437,['Mexican restaurant']
0x808e335946287fbd:0x997dfde405520844,Tac-oh!,San Jose,1.9,14,['Mexican restaurant']
0x808e33737ef4569d:0xbf15f7972a86888a,Cantina California,San Jose,2.4,13,['Mexican restaurant']
0x808e3379f05e2b93:0xbc7a55d9d9e14e17,La Casita Chilanga,San Jose,2.5,23,['Mexican restaurant']
0x808e33b32b748755:0x4067d4ff761fd7ce,Tacomania Willow Glen,San Jose,1.5,31,['Mexican restaurant']
0x808e353a01eeffcb:0xa7fe88ac7ab10976,Los Pambazos,San Jose,2.5,19,['Mexican restaurant']
0x808e35cf67b7e879:0xbc544b2b29ebfe62,La Burrita Truck,San Jose,2.9,15,['Mexican restaurant']
0x808e401f20b179af:0xc63f5a798f88d436,Taqueria Santa Cruz II,Santa Cruz,2.1,554,['Mexican restaurant']
0x808e46a2a1508353:0xe657c3b1bbec04da,Don Quixote,Felton,2.0,26,['Mexican restaurant']
0x808f779182f83855:0x9b8bd8db3b653f6c,Urban Tortilla,San Francisco,0.8,31,['Mexican restaurant']
0x808f785c70f8caf5:0x57e3864694fa6be8,South Harbor Waterfront,South San Francisco,2.6,17,['Latin American restaurant']
0x808f792bffffffff:0x94d6e1c54b83c988,Daisy's Taqueria,Brisbane,2.5,18,['Mexican restaurant']
0x808f79977e9eaf99:0xb0d4ccfdef2073bf,Tacos Juanita's Estilo Mezcala,South San Francisco,2.7,11,['Mexican restaurant']
0x808f79ae95045727:0x20326d527ddbfcdc,Los Compadres Taqueria,South San Francisco,2.2,50,['Mexican restaurant']
0x808f79d7fa11be69:0x6038312d92b6b70,Don Pico’s Mexican Bistro & Cevicheria,San Bruno,1.5,29,['Mexican restaurant']
0x808f7b96a6c0cf9d:0x4684d7cbb17f4f74,Guerrero's Taqueria 2,Pacifica,2.1,138,"['Mexican restaurant', 'Latin American restaurant']"
0x808f7c18d1d038b5:0x5da214988b50d868,Cafe Durango De Chi6ix,Daly City,2.3,30,['Mexican restaurant']
0x808f7c7259b329f3:0x7467c18293430ed3,Taqueria Maria,Daly City,2.1,29,"['Mexican restaurant', 'Latin American restaurant']"
0x808f7c7ce7ec3f2f:0xda71760e91844eff,Taco Bell,Alameda,1.0,80,['Mexican restaurant']
0x808f7dd32fb2ffbf:0xbc56deb4ca33ce2,Market Cocina,Lafayette,2.4,16,['Mexican restaurant']
0x808f7e04c86f3cef:0xf979c27a6982e7fe,Zapata Mexican Grill,San Francisco,2.0,29,['Mexican restaurant']
0x808f7e1b2a72ffff:0xdf21316c2d1ff92a,Papi Rico,San Francisco,2.6,29,['Mexican restaurant']
0x808f7e21a3adf617:0x25f0e4284871c413,Mayah’s Restaurant Cafe,San Francisco,2.7,18,['Mexican restaurant']
0x808f7e230b56949b:0x388cf19ab6898165,Taqueria Vallarta,San Francisco,1.6,30,"['Mexican restaurant', 'Latin American restaurant']"
0x808f7e25d4d5325b:0xc5353a077072d6c4,Gallardo's,San Francisco,2.4,467,['Mexican restaurant']
0x808f7e281722654f:0x75de737f08dfe689,Azúcar Lounge,San Francisco,2.3,234,['Mexican restaurant']
0x808f7e31249a8e37:0xa8d7834a83792b7,Cafe Taboo,San Francisco,2.5,11,['Mexican restaurant']
0x808f7e3a2314d97b:0x5dc1edd178f4a99d,Las Cocineras Restaurant,San Francisco,2.7,12,['Mexican restaurant']
0x808f7e3d235f87bb:0x132c14b7a3b2c6e3,Brasserie Saint James- Mission,San Francisco,2.6,94,['Argentinian restaurant']
0x808f7e461c472663:0x629e8e509cb980bb,El Paraiso Cafe,San Francisco,2.1,21,['Latin American restaurant']
0x808f7e4881a8f4e3:0x373f8a8597252568,Taqueria Vallarta,San Francisco,2.0,1686,['Mexican restaurant']
0x808f7e4d62607b6d:0x3dad42d967929310,Martita's Kitchen,San Francisco,1.8,11,['Mexican restaurant']
0x808f7e5d4090cc4b:0xe59046a5af654c35,El Ahorro Market & Deli,San Francisco,2.6,39,['Central American restaurant']
0x808f7e9c591aa2d1:0xdf6cec63200b2f23,Taqueria Mi sazon,San Francisco,2.0,90,['Mexican restaurant']
0x808f7e9c5fe3aeeb:0x1db047ffff86514c,Honduras kitchen,San Francisco,2.1,62,['Latin American restaurant']
0x808f7ed9a005079d:0xed26d1cbd202082e,Taqueria El Buen Sabor,San Francisco,1.8,48,['Mexican restaurant']
0x808f7f0f5ff63177:0x3e55058f833159ec,Las Isletas Restaurant,San Francisco,1.8,111,"['Latin American restaurant', 'Mexican restaurant']"
0x808f7f1a4543bfa7:0xab69662ef651fe79,Las Palmas,Fresno,2.0,136,['Mexican restaurant']
0x808f7f735c859869:0xbb1b9aac23e1b28,Chico's Grill,San Francisco,2.0,25,['Mexican restaurant']
0x808f7f8e7e198c8f:0xbe8938a416407540,El Nuevo Frutilandia,San Francisco,3.2,14,"['Caribbean restaurant', 'Cuban restaurant']"
0x808f7fa3a3132a71:0x50082ee3b17477b5,El Arepazo SF,San Francisco,2.8,12,['Colombian restaurant']
0x808f7fa4dbf4022f:0xbfc4f1625d167b4,Tacos El Flaco,San Francisco,2.0,35,['Mexican restaurant']
0x808f7fa5822e4725:0x90eeeb2d97b06b95,El Capitan Taqueria,San Francisco,1.8,72,['Mexican restaurant']
0x808f7fd12075e32f:0x7d48cc9cd782fa6e,Lupulandia Brewing,San Francisco,2.9,18,['Mexican restaurant']
0x808f7fd770b93dfd:0x9163bc5a8883c63b,Mijita,San Francisco,1.0,7,['Mexican restaurant']
0x808f7fe0dea02ab5:0x24fa405eaba85821,Los Yaquis,San Francisco,2.9,25,['Mexican restaurant']
0x808f7ffe9ed4db0d:0x5ac55569840b7730,Santeria,San Francisco,2.9,22,['Mexican restaurant']
0x808f809c70f2353b:0xdeed961b5c27af5d,Comalapa Restaurant,Oakland,2.4,24,['Mexican restaurant']
0x808f80a824fe0841:0x21773fe4690e2554,Giant Burrito,Oakland,1.7,65,['Mexican restaurant']
0x808f80b33e633a63:0x49e7a8ba63f18022,Molcajete Cocina Mexicana,Oakland,2.5,291,['Mexican restaurant']
0x808f81eb411abd87:0x54d9f0b121bb2b6,Criollos Mexican-Mediterranean food,Oakland,1.9,15,['Mexican restaurant']
0x808f855970c3c0c3:0x55e889ceedf6ea74,Marina Restaurant,San Leandro,2.7,53,['Mexican restaurant']
0x808f86629834c163:0x455d2b0bd76acab3,Burrito Truck,Oakland,2.2,15,['Mexican restaurant']
0x808f86629aca5925:0xd7e23a34d2d4b9a1,Tacos La Penca Azul,Oakland,2.3,18,['Mexican restaurant']
0x808f86651b3721c3:0x7f489dc90195bdf9,Taqueria El Paisa@.com,Oakland,2.2,1337,['Mexican restaurant']
0x808f86926eb97995:0x2b75e1f025d16339,Taco Bell,Alameda,1.3,25,['Mexican restaurant']
0x808f86f3dee2664d:0xa41143f3e8a996dd,Hornitos Cafe,Oakland,2.9,18,"['Latin American restaurant', 'Mexican restaurant']"
0x808f86f459cf5fcb:0xf2be0b65edddcbd0,Pipirin,Oakland,2.7,10,['Mexican restaurant']
0x808f86f466b2fdbf:0x80fb99dd971c1c31,Parra's,Oakland,2.1,80,['Mexican restaurant']
0x808f86fa3ffcbd79:0x40da7d07265020a1,Tacos Alonzo,Oakland,2.4,20,['Mexican restaurant']
0x808f87455f14b621:0x770f72973293f05a,Tacos Xochimilco,Oakland,2.6,30,['Mexican restaurant']
0x808f874f1bc0069b:0x55923c2cbce71aa2,Los Cantaros,Oakland,2.0,374,['Mexican restaurant']
0x808f87544fb09c17:0x902da64e5fa7084f,La Catrina,Oakland,2.3,44,['Mexican restaurant']
0x808f879770156033:0xac4305c93ba58bf1,Tacos Mi Rancho,Oakland,2.6,20,['Mexican restaurant']
0x808f87a1f0b9983d:0xb094cd6af71e6e86,LA GRANA FISH,Oakland,2.6,81,['Mexican restaurant']
0x808f87abe5feb3b1:0x751b5cd6cbf7727d,Ole Ole Burrito Express,Oakland,1.8,94,['Mexican restaurant']
0x808f87c4525d9609:0x46a35ca3c31ba3a8,Comal Next Door,Oakland,2.8,20,['Mexican restaurant']
0x808f8b57ee95be5b:0x1ae5a872f97a3d07,Chipotle Mexican Grill,Anaheim,1.1,58,['Mexican restaurant']
0x808f8dffcd9dfb43:0x303a880692151a2e,Taco Bell,Alameda,2.5,27,['Mexican restaurant']
0x808f8f22d421c0f9:0xc969037d75a4c544,Yuri's Taqueria,San Leandro,2.9,13,['Mexican restaurant']
0x808f8f37c1b6d241:0x1b3bd5046ff3ce84,Tacos Dos Primos,Oakland,2.2,21,['Mexican restaurant']
0x808f8fed423893f5:0x5f8ebcc1a3025165,Taqueria La Laguna,San Leandro,1.6,31,['Mexican restaurant']
0x808f8fef74e4be63:0x60ef6a5bfe56802,Yuyis Tacos,San Leandro,2.4,27,['Mexican restaurant']
0x808f910e14ba0b25:0x714ed798f243c05c,Taqueria El Indio,Hayward,2.0,145,['Mexican restaurant']
0x808f916284767ad9:0x9b09e9462c5cce5e,Shark Shack,Hayward,2.9,18,['Mexican restaurant']
0x808f916d16f59b65:0x4f26659c467e05a6,Metro Taquero,Hayward,1.8,684,['Mexican restaurant']
0x808f91b297b9bf2b:0x52b67db7b5185f72,PaPa Pancho's Taqueria,San Lorenzo,2.4,82,['Mexican restaurant']
0x808f946c8ab7deaf:0x298193fbabe886e6,Pepe's,Hayward,2.5,33,['Mexican restaurant']
0x808f950047daeabb:0x1691fc63df8c4ed0,Taco Bell,Alameda,1.3,72,['Mexican restaurant']
0x808f95b7dcf5ab67:0xee09aed1021019f0,La Chaparrita,Hayward,2.0,102,['Mexican restaurant']
0x808f95cbc4e2b11d:0x61e2e27b3ac911e3,Taqueria Cowbell 67,Hayward,1.2,11,"['Mexican restaurant', 'Latin American restaurant']"
0x808f95e0e116e89d:0x7b87b390531a2bc5,Taqueria El Jarocho 3,Hayward,2.4,29,['Mexican restaurant']
0x808f976642b1cafb:0xb85d0b5dc51d13f3,Tacos Uruapan Food Truck,Hayward,2.5,81,['Mexican restaurant']
0x808f9dde51afb879:0x789510f72e2e4d88,Taqueria Los Primos #2,Long Beach,2.1,46,['Mexican restaurant']
0x808f9e708618bf77:0x1a07da44abd91929,Las Americas,San Mateo,2.4,17,['Peruvian restaurant']
0x808f9e70c5e76829:0x845bc61e36339a70,Cha Cha Cha Cuba,San Mateo,1.9,12,['Cuban restaurant']
0x808f9e7b087f0249:0xc7dcd67fbc3c377b,Al Carbon Pollos a la Brasa,San Mateo,1.9,76,['Peruvian restaurant']
0x808f9f2f8283398b:0x4ae2e3fff58c5950,Mariscos Y Taqueria Ixpalino Sinaloa,San Mateo,2.0,26,['Mexican restaurant']
0x808f9fac04981299:0x7038355ef5c0bb05,Dahlia Mexican Grill,San Mateo,2.1,24,['Mexican restaurant']
0x808f9febc381cb3b:0xa1e7d42e098a3ca,Mr. Taco Man,San Mateo,1.9,12,['Mexican restaurant']
0x808fa1ff7e6e5723:0xb767080f7ff215f8,Baja Fresh Mexican Grill,Firebaugh,1.8,10,['Mexican restaurant']
0x808fa23e9eab0e49:0x332e55b77e94d384,Sancho's Taqueria,San Carlos,1.8,15,['Mexican restaurant']
0x808fa24d6a2bdcab:0x7b0da5c38aafd475,Nikkos Mexican Grill,Redwood City,1.9,13,['Mexican restaurant']
0x808fa32ea67bbc0b:0x9ebccac3173a1fd,Mama Coco Cocina Mexicana,San Carlos,2.6,11,['Mexican restaurant']
0x808fa3448433431d:0x1dc853b97d337aa9,Chicos Grill,Redwood City,1.7,10,['Mexican restaurant']
0x808fa35fa0147a01:0x66e6cb177b5902bc,Coupa Cafe - Marston,Redwood City,2.3,66,['Venezuelan restaurant']
0x808fa36be4bfd6dd:0xae825dba72758054,Tacos el Fogon,Menlo Park,1.9,54,['Mexican restaurant']
0x808fa36bfe94d331:0x530cf3f752e40f6c,Tacos El Jarochito,Menlo Park,1.9,63,['Mexican restaurant']
0x808fa36c5d7cc607:0x91cff344b7744aca,Rincon Tarasco,Menlo Park,1.8,26,['Mexican restaurant']
0x808fa3aa823a1c29:0x4403ab18a61977cc,Cariblue,Redwood City,2.9,82,['Caribbean restaurant']
