restaurante,city,num_of_reviews,avg_rating
Taqueria Santa Cruz II,Santa Cruz,820,4.3
Super Taco,Visalia,818,4.3
Phở 45,Garden Grove,818,4.5
Mofongos,Los Angeles,818,4.4
Del Taco,Palm Springs,796,3.9
Don Cuco Mexican Restaurant,Burbank,794,4.4
El Taco Loco,Bakersfield,783,3.9
Los Pancho's Taco Shop,Chula Vista,780,4.2
Zendejas Mexican Restaurant,San Dimas,778,4.0
Beach House Tacos,Ventura,778,4.5
Taqueria La Estrella,Manteca,774,4.0
Tito's LaEspecial,Santa Ana,759,4.4
Gallardo's,San Francisco,754,4.5
Mezcalito Oaxacan Cuisine,Rocklin,753,4.6
Susy’s Méxican Food,Stockton,748,4.3
Del Taco,Stanton,739,3.9
Tacos Estilo Guadalajara,Downey,734,4.5
El Baja,Fontana,733,4.2
La Costeña,Mountain View,728,4.3
Leo's Mexican Food,Lawndale,727,4.5
Tacos Mexico,Bell,718,4.3
Baker's Drive-Thru,Rialto,705,4.2
El Pollo Loco,San Bernardino,695,4.1
La Villa Taqueria,Bakersfield,688,4.1
Tacos La Villa,Bakersfield,673,4.2
Puerto Azul Restaurant,San Jose,671,4.0
Del Taco,Bakersfield,664,3.9
El Pollo Loco,Clovis,658,4.0
El Caserio Restaurant,Los Angeles,657,4.3
Tacko,San Francisco,648,4.4
La Parrilla Mexican Restaurant & Bar,Modesto,648,4.3
Carolina's Mexican Restaurant,Sacramento,646,3.8
Taco Bell,Desert Hot Springs,633,3.9
Alberto's Mexican Food,Rancho Cucamonga,628,3.9
Del Taco,Riverside,626,4.2
Del Taco,Ontario,623,4.0
Cardenas Markets,Pomona,623,3.8
Baker's Drive-Thru,Rialto,620,4.3
El Pollo Loco,Lynwood,618,3.6
Rosa Maria's Mexican Food,Highland,613,4.6
Leno's Rico Taco,Colton,598,4.2
Taco Bell,Modesto,598,4.0
Del Taco,Gardena,598,3.9
Fatboys Taco,Palmdale,593,4.8
Flacos,Berkeley,585,4.5
Chipotle Mexican Grill,Roseville,585,3.6
Taco Bell,Fresno,584,3.8
El Rocoto,Cerritos,576,4.3
Del Taco,Red Bluff,568,3.5
Diana's Mexican Food Products Inc,El Monte,555,4.3
Hercules Burgers,Orange,543,4.2
Garcia's Taqueria,Sunnyvale,538,4.1
Los Cantaros,Oakland,516,4.0
Tequilas Cantina & Grill,Burbank,516,4.3
Señor Baja,Norwalk,504,4.4
Cafe Rio Mexican Grill,Fresno,495,4.4
Miguel's Jr.,Riverside,495,4.2
Casa Maria,Clovis,494,4.3
Taco Bell,Lake Forest,493,4.0
Taco Bell,San Fernando,492,3.9
Del Taco,Lebec,477,3.6
Rigoberto's Taco Shop,La Mesa,476,4.1
Del Taco,Ontario,448,4.0
Mariscos El Chuy #2,Hawthorne,448,4.4
El Toro Bravo,Costa Mesa,448,4.1
Tortas Ahogadas El Rey,Huntington Park,448,4.4
Del Taco,Long Beach,445,4.2
Las Lomas Restaurant,Los Angeles,438,4.4
El Pollo Loco,Long Beach,438,3.6
Peter's El Loco,West Covina,435,4.3
Rosie's,Yucaipa,434,4.4
El Favorito Taqueria,Grass Valley,428,4.3
Frida Mexican Cuisine – Beverly Hills,Beverly Hills,428,4.2
Alberto's Mexican Food,Ontario,426,3.8
Jimboy's Tacos,Citrus Heights,418,4.2
Del Taco,Orange,418,4.0
Molcajete Cocina Mexicana,Oakland,408,4.3
"D'Poly Taco, Grill & Beer",El Centro,408,4.4
Los Portales,Mountain View,393,4.4
Jilberto's Taco Shop,Pauma Valley,392,4.3
El Jardin,Turlock,388,4.2
El Ranchito Taco Shop,Hemet,384,4.4
Taco Bell,Angels Camp,383,3.8
Del Taco,Vacaville,374,3.8
Del Taco,Fountain Valley,363,4.2
China's Alley,Lindsay,358,4.3
Mission Burrito,Los Angeles,358,4.2
El Mezcal Mexican Restaurant,San Andreas,358,4.5
Chipotle Mexican Grill,Palm Springs,355,4.0
Fasika Ethiopian Restaurant,Fresno,354,4.5
El Burrito Grill,Long Beach,348,4.4
Azúcar Lounge,San Francisco,338,4.3
tacos la calle,Buena Park,338,4.3
Taco Bell,Simi Valley,335,3.9
Los Primos Birria,Chula Vista,328,4.5
Chipotle Mexican Grill,San Jose,327,3.9
El Parque,Fallbrook,324,4.3
Cabos Mexican Restaurant,Clearlake,318,4.0
Delicias Taqueria,Watsonville,318,4.4
El Burrito,Sacramento,317,3.9
Taqueria Santa Fe,Orosi,305,4.4
Xécora Gastronomía Urbana,El Monte,304,4.4
Rolberto's Taco Shop,San Diego,303,4.2
El Pollo Loco,Garden Grove,288,4.1
Rancho del Zocalo Restaurante,Anaheim,288,4.2
Amigos De Acapulco,Chico,288,4.5
Micheladas Mexican Grill,Santa Clarita,282,4.5
Los Portales Taco Shop,Murrieta,281,4.3
Taco Bell,Rohnert Park,278,3.5
Los Arroyos Camarillo Mexican Restaurant & Take Out,Camarillo,277,4.1
Amigos Mexican Restaurant,Bishop,276,4.2
Doc's Drive In,Visalia,275,4.4
La Casita Rivera,Long Beach,274,4.3
Casa Flores Restaurant Authentic Mexican,Stockton,267,4.4
El Pollo Norteño,Santa Ana,267,4.2
Rubio's Coastal Grill,Vista,266,4.3
El Huarache Loco,Delano,263,4.2
Restaurant Acapulco 2,Santa Ana,258,4.0
Rubio's,Huntington Beach,258,4.4
Zócalo Folsom,Folsom,256,4.0
Albert Fresh Mexican Food,Long Beach,255,4.2
Taco Plus,Los Angeles,248,4.1
Maderos Cocina Mexicana,Redondo Beach,247,4.7
Puro Sabor Peruvian Restaurant,Los Angeles,247,4.4
Rosales Mexican Restaurant,Santa Barbara,246,4.4
Chipotle Mexican Grill,Del Mar,238,4.2
Troca De Tacos La Cascada,Santa Ana,238,4.3
KALIENTE RESTAURANT,El Sobrante,235,4.1
The Pollo L.A.,Los Angeles,228,4.7
El Palacio Restaurant & Night Club,La Puente,228,4.2
Taqueria Don Chepe,Pleasanton,226,4.5
Alexander's World Famous Tortas,East Compton,220,4.6
Taco Factory,Delano,215,4.3
Morada Neveria Y Paleteria,Stockton,214,4.6
Las Palmas,San Francisco,208,4.2
El Jalapeño Restaurant,San Jose,208,4.1
Lupita's Mexican Grill,Redondo Beach,208,4.0
Tacos Estilo Guadalajara,Lynwood,208,4.3
Las Isletas Restaurant,San Francisco,207,4.2
Los Tacos,Oceanside,203,4.3
Tacos El Paisa,Upland,202,4.7
Taqueria El Indio,Hayward,198,4.3
Rubio's Coastal Grill,Laguna Niguel,198,4.1
Chipotle Mexican Grill,Los Angeles,196,4.2
La Tripa Veloz,Cudahy,195,4.1
Guerrero's Taqueria 2,Pacifica,195,4.2
El Agave Taqueria,Auburn,194,4.2
Cabo Taco Baja Grill,La Mirada,188,4.5
The Mexico Cafe Temecula,Temecula,188,3.9
Pedro's Cocina,Dixon,188,4.5
El Michoacano,Santa Ana,188,4.4
El Porton Colombiano Restaurant,Huntington Beach,188,4.5
Panda's Mexican Restaurant,El Cajon,188,4.0
Taqueria Los Primos,Santa Clarita,186,4.1
Birrieria El Primo,San Jose,185,3.9
Tacos La Nueva,Sacramento,183,4.4
Arco Iris Juice Bar & Restaurant,Oxnard,178,4.2
El Campestre Dos Restaurant,Newman,178,4.3
El Rancho Mexican Restaurant,Moreno Valley,178,4.2
Super Tacos Panchitos,Corona,178,4.3
La Ranchera Mexican Food,La Habra,177,4.1
Taqueria Jalisco,Salinas,176,4.1
Mi Patria Restaurant,Pico Rivera,176,4.1
Mexipino Craft,Chula Vista,175,4.5
Linda's Mexican Restaurant,San Jose,174,4.3
Our Place Restaurant,Moreno Valley,173,4.4
El Taco Llama Restaurant,Los Angeles,168,4.1
Moreno Taco Shop,Madera,168,4.1
Tacos y Birria Miguelito #1,Santa Ana,168,4.5
Los Locos Mexican Restaurant,San Diego,162,3.5
El Chalateco,Los Angeles,158,4.3
SALVIMEX110 RESTAURANT & BAR,Gardena,158,4.4
Carnitas Michoacan,Los Angeles,158,4.3
New Buenos Aires Bakery & Cafe,Burbank,158,4.5
Yahaira's Cafe,Pasadena,158,4.6
Lily's Cafe,Fresno,158,4.4
Mi Durango,Lancaster,158,4.4
Mariscos Alas,Paramount,158,4.5
Taqueria Los Altos,Tracy,158,4.3
East Los Tacos,Los Angeles,157,4.7
La Chaparrita,Hayward,157,4.3
Ah-Jijo! Mexican Grill,San Diego,156,4.2
La Michoacana Bakery & Taco Shop,Delhi,156,4.4
Real Colima 1 Restaurant,Pajaro,155,4.2
Lena's Cantina,Portola,155,4.3
Elma’s Taqueria,San Jose,155,4.1
El Rey Del Marisco,Santa Ana,155,3.9
Tacos Tamix Mexican food truck,Los Angeles,154,4.7
Cantina Verde,San Francisco,154,4.3
Pepe's Tortas,Perris,153,4.5
Lolita's Tamales,East Los Angeles,153,3.8
M&C Grill Sports Bar,Trabuco Canyon,153,4.5
Los Tres Pollos #3,Long Beach,152,4.4
Papas & Tacos,Los Angeles,148,4.1
Taqueria Mi sazon,San Francisco,148,4.0
Chavinda Taqueria,Madera,148,4.5
TAQUERIA CAROLINA # 3,Modesto,148,4.1
Birrieria And Menuderia Del Toro,Chula Vista,148,4.2
Mi San Salvador,South Gate,148,4.2
La Unica,Santa Maria,148,4.2
Mariscos Valencia Restaurant,Tustin,147,4.5
Ajua! Modern Taqueria,Bakersfield,146,4.2
Restaurante El Gordo,Los Angeles,145,4.5
Molcajete Grill,Westminster,145,4.4
"Tacos Josefina, Jose's Taco Shop",Fresno,145,4.0
Yolis Snacks,Parlier,145,4.7
El Palmar Salvadorean Restaurant,Los Angeles,144,3.3
Bernardos Mexican Restaurant,Granite Bay,143,4.3
Baja Fresh Mexican Grill,San Bernardino,142,4.4
Taqueria El Taco Loco #7,Los Angeles,142,4.5
Tacos El Pelon,East Los Angeles,138,4.5
Señor Burro,La Mesa,138,4.4
El Quiubole,Cudahy,138,4.5
Lupita's Meat Market,Los Angeles,138,4.6
Mariscos Las Reynitas,Riverside,137,4.1
Taqueria El Cino,San Diego,137,4.4
El Tarasco Bravo,Dos Palos,136,4.5
La Fuente Mexican Restaurant,Ojai,136,4.4
Ole Ole Burrito Express,Oakland,136,4.1
El Rey Moro Taco Shop,San Diego,136,4.3
Casa 7 Mares Restaurant,Los Angeles,136,4.2
Taqueria Gudino,Richgrove,134,4.4
Javi's Tacos,Turlock,134,4.7
El Huarachito Casero,Los Angeles,133,4.1
Al Carbon Pollos a la Brasa,San Mateo,130,4.2
PaPa Pancho's Taqueria,San Lorenzo,129,4.3
Raul's Mexican Food,Encinitas,128,4.5
Rancho La Perla Restaurant,Riverside,128,3.9
El Nuevo Tlaquepaque,Exeter,128,4.4
Tacos Mexico Echo Park,Los Angeles,128,4.0
Dos Vaqueros Mexican Food,Escondido,128,4.2
LA GRANA FISH,Oakland,128,4.7
La Hacienda Petaluma,Petaluma,128,4.2
Tropical Oasis,Chula Vista,128,4.3
3 Hermanas,Sacramento,128,4.4
El Indio Tortillas Factory,Santa Ana,128,4.3
Tacos Uruapan Food Truck,Hayward,128,4.5
Brasserie Saint James- Mission,San Francisco,128,4.5
Don Gerardo's Restaurant,El Monte,128,4.4
Urban Tortilla,San Francisco,128,3.0
Tacos El Tizon 3,San Luis Obispo,128,4.4
Casa Gazcón Mexican Grill,Santa Fe Springs,128,4.3
Birrieria El Puente,Pittsburg,127,4.2
Hecho En Mexico Taqueria,Fairfield,127,4.2
Super Torta Mexican Food,Anaheim,127,4.2
Peruvian Rotisserie Chicken,Huntington Beach,126,3.8
Tacos Mariscos Tijuana,Reedley,126,4.0
Chipotle Mexican Grill,Torrance,126,4.2
Valentinas Taco Shop,San Diego,125,3.9
Aurora's,Dana Point,125,4.1
Acapulco Gardens Mexican Food,Stockton,124,4.2
El Borrego De Oro,Sacramento,124,4.3
Antojitos Tenampa,Lemon Grove,122,4.4
Cariblue,Redwood City,119,4.6
Lupita's Tacos,Visalia,118,4.7
Tony's Tacos,Visalia,118,4.7
Parra's,Oakland,118,4.3
Continental Bakery,Los Angeles,118,4.1
Stand Up Tacos,West Covina,118,4.1
Fresh Burrito Mexican Grill,Ventura,118,4.5
San Juan Rotisserie Pollo,Chino Hills,118,4.5
Malbec Argentinean Cuisine,Los Angeles,118,4.7
Honduras kitchen,San Francisco,118,4.1
Casa Guerrero,Baldwin Park,118,4.4
20/20 Bar & Grill,Pomona,118,3.6
Mi Lindo Oaxaca Restaurant,Baldwin Park,118,4.5
Hermosa Mexican Cuisine,Hermosa Beach,118,4.6
El Frijolitos Restaurant,Avenal,118,3.8
Tony Mariscos Restaurant,Baldwin Park,118,4.2
Los Pepes Mexican Grill,Palm Desert,118,4.1
El Sabroso,Buttonwillow,118,4.5
Taco Safary Mexican Food,Huntington Park,117,4.0
Pico De Gallo Mexican Food,Fresno,117,4.4
Doña Marta's,Los Angeles,117,3.6
Paco's Tacos,San Bernardino,116,4.3
El Portal Restaurant,Bakersfield,116,3.8
Andy's Surf N Turf Tacos,Los Angeles,116,4.5
Dona Mercedes Restaurant,San Fernando,116,4.2
Tacos De Birria De Res,Los Angeles,116,4.6
Achiote Grill,Huntington Beach,115,4.3
Chile Red,Rancho Cucamonga,115,4.5
The Fifth Lounge,Fontana,115,4.4
Nory's Restaurant,Lake Forest,115,4.5
Taco's San Pedro,Yorba Linda,115,4.3
El Chef Tacos,Westminster,115,4.1
Sabor Mexican Grill,Lemon Grove,113,4.2
Taqueria Del Mar,Monterey,113,4.2
Restaurante Panaderia Y Pupuseria Belen,Los Angeles,111,4.0
El Patio Mexican Birrieria,San Jose,108,4.1
Los Cilantros,Berkeley,108,4.5
Casa De Papi Mexican Grill,Los Angeles,108,4.8
Rikas Peruvian cuisine,Los Angeles,108,4.4
Camino Real Café,Pajaro,108,4.5
Marina Restaurant,San Leandro,108,4.5
Tropikal Calle 8,Lancaster,108,4.1
Taqueria Hernandez,Oxnard,108,4.4
Taqueria Dos Hermanos,Stockton,108,4.3
Taco Bell,Corona,108,3.5
The Latin Chef Liberty Station,San Diego,108,4.6
La Buena Taqueria and More,Watsonville,108,4.4
Las Morelianas,Hemet,108,4.4
Taqueria 2 Gallos De Oro,Salinas,108,4.3
Tacos Jalisco,Kings Beach,108,4.0
Casa Del Rey,Santa Ana,108,3.7
El Burrito Loco,Wasco,108,4.4
Tacos Catrina,Stockton,108,4.2
United Paleteria Y Neveria,San Jose,108,4.2
Oaxaco Restaurant,Oxnard,108,4.2
Balbuena's Mexican Restaurant,Los Angeles,108,4.2
Taco Bell,Arcadia,107,3.7
Marisqueria & Taqueria Don Chava,Farmersville,107,4.3
El Vaquero Restaurant,Los Angeles,107,4.1
Angel’s Tijuana Tacos,Jurupa Valley,107,4.5
Taco Bell,Daly City,107,3.4
Tacos El Gordo,Fresno,107,4.7
Que Viva,Cameron Park,107,4.1
La Cocina,Redondo Beach,107,4.4
Birrieria Gonzalez,Fontana,105,4.7
2 Amigos Taco Truck,Fresno,105,4.7
Amigos Tacos,Hermosa Beach,105,4.2
Taqueria Guerrero,Madera,105,4.1
La Parrilla Taqueria,Atascadero,104,4.7
Mariscos Vista Del Mar,Stanton,104,4.1
Taqueria el azteca,Stockton,104,4.2
Birrieria Y Taqueria Yahualica,Bay Point,103,4.3
TACOS EL PUEBLA,Los Angeles,98,4.5
Chuys Tacos Y Taquisas,Fresno,98,4.7
Tacos El Palomas,Compton,98,4.7
Taco Bell,Hayward,98,3.5
El Gallo Giro,San Fernando,98,4.4
Placita Cafe,Los Angeles,98,4.6
Chipotle Mexican Grill,Danville,98,3.5
Asadero Neighborhood,Calexico,98,3.7
Mariscos El Pargo,Whittier,98,3.9
Carnitas El Rincón,San Jose,98,4.6
Fresh Mex Bar & Grill,Oxnard,98,4.0
Saltillo Tortilleria,Salinas,98,4.3
Chitos Birerria,Modesto,98,4.0
Pollo Del Norte,Bakersfield,98,3.9
Chronic Tacos,San Luis Obispo,98,3.8
Giant Burrito,Oakland,98,4.0
Vaqueras,Santa Maria,98,4.0
Oscar's Authentic Mexican Food,San Diego,98,3.7
Fruteria La Capirucha,Chula Vista,97,4.5
Tacos el Fogon,Menlo Park,97,4.3
La Kebrada Restaurant,Fresno,97,4.4
El Nuevo Mexicali III,Springville,96,4.1
La Superior Mercados,Woodland,96,3.6
Tacos Mexico,Turlock,96,4.4
D Poly,Calexico,96,4.1
Alfonso's Carniceria y Taqueria,Selma,96,3.9
Playa Linda Taqueria,Rio Linda,95,4.0
Tacos El Pollo y El Pollito,San Jose,95,4.3
Las Champas 12,East Los Angeles,95,4.0
Casa Jalisco Restaurant,Los Angeles,95,4.2
Birrieria Nochistlan,Los Angeles,95,4.7
Taco Camilas,Santa Ana,95,4.6
Taqueria Chicolandia,Santa Ana,94,4.2
Taqueria Morelos #2,Escondido,94,4.2
Arteaga Mexican Restaurant,Parlier,94,4.2
Tacos Y Mariscos El Picante,Santa Ana,94,4.3
DF Tamales,Rialto,94,4.5
Mariscos Costa Mar Restaurant,Palmdale,94,3.8
La Cabanita,Wasco,94,4.4
Tacos El Tizon 2,Santa Maria,93,4.2
DON SALSA'S TAQUERIA,Fresno,93,4.6
Pollo Asado Mr. Jimmy,Auburn,93,4.2
El Zocalo Mexican Steakhouse,Santa Ana,93,3.8
Tu Madres Cantina & Grill,Indio,93,3.9
Tacos El Guero #1,Los Angeles,93,4.8
Tacos Alejandra,Porterville,91,4.4
El Tarasco Restaurant,Sebastopol,89,4.5
Taqueria La Cabaña E&E,El Monte,88,4.6
Tacos El Jarochito,Menlo Park,88,4.4
Taqueria El Flamazo,Salinas,88,3.8
La Casa Del Clamato,Ceres,88,4.6
Gloria's Mexican Food,Costa Mesa,88,4.1
Lorena's Taqueria,King City,88,4.0
Taqueria El Zacatecano,Perris,88,4.3
Los Escalera's Taco Shop,Orange,88,4.3
Mamá Por Dios,Los Angeles,88,3.7
El Patron II Authentic Mexican Food,La Verne,88,4.3
Taqueria Truck,Vernon,88,4.6
TACOS JR,Los Angeles,88,3.9
El Chamango,Westminster,88,4.3
Baja Fresh Mexican Grill,Victorville,88,4.3
Taqueria Guerrero #2,Anaheim,88,4.0
Graciela's Restaurant,Los Angeles,88,4.1
Viva Michoacán Restaurant,San Jose,88,4.2
Tacos Los Carnalillos Taco Truck 2,Los Angeles,88,4.5
Taqueria Lago Azul,Santa Paula,88,4.4
Tasty Chicken,Rancho Cucamonga,88,4.5
Taqueria Los Primos #2,San Mateo,88,4.2
Las Brisas #1,Los Angeles,88,4.4
El Kora y El Sinaloense Restaurant,Ukiah,88,4.3
Mariscos Yucatan,South Gate,88,4.2
Rico's Taqueria,Paradise,88,4.5
"""TACOS"" MICHOACAN",Los Angeles,88,4.1
Los Primos Taqueria Y Restaurant,Pixley,88,4.3
Primos Mexican Food,Solana Beach,88,3.8
Jalisciense Restaurant,Morgan Hill,88,3.7
Mariscos Los Altos,Tracy,88,4.3
Tacos 3 Amigos,Stanton,88,4.3
El Flamin Taco,Los Angeles,88,4.4
La Esquinita Mi Pueblo,Huron,87,4.4
Zapopana's café Tortas Y Raspados,Covina,87,4.4
Taqueria 3 Estrellas,Santa Paula,87,4.7
Las Muchitas Pupuseria & Restaurant,Dos Palos,87,4.1
El Chacuaco Restaurant,Carmichael,86,4.3
Taqueria Zihuatanejo 2,Parlier,86,4.5
Tortas Ahogadas El Gallito,Chula Vista,86,4.6
La Auténtica Michoacána,Rialto,86,3.4
Taqueria El Buen Sabor,San Francisco,86,4.4
T&L POLLOS GRILLED & ROTISSERIE CHICKEN,Whittier,85,4.4
La Patrona Mexican Grill,San Diego,85,3.9
Valencia Market y Taqueria,Napa,85,4.2
Taqueria Jalisco,Los Angeles,85,4.1
Tacos Chidos,Los Angeles,85,4.8
Guanatos Taco Truck,Fremont,84,4.6
Taco Truck REY de REYES,Turlock,84,4.2
Taqueria La Chiquita,Arcata,83,4.6
Contigo Peru,Victorville,83,4.4
La Doña Mexican Cuisine & Bar,Santa Rosa,83,3.8
Taqueria Carmelita,Santa Maria,78,4.0
Arsenios Mexican Food,Fresno,78,4.0
El Silencito,Riverside,78,4.3
Huarache King,King City,78,4.1
El Taco De Guadalajara,Ventura,78,3.3
Eriberto's Taco Shop,San Diego,78,3.9
La Hoya Mexican Restaurant,Rohnert Park,78,4.5
Mariscos el Tarasco,Reedley,78,4.3
Pacos Tacos Stand,Fullerton,78,4.5
Panadería Guila,Los Angeles,78,4.3
Coupa Cafe - Marston,Redwood City,78,4.1
Raffa's Carniceria Panaderia Taqueria #3,Pomona,78,4.4
Mr V's Philly Cheesesteak & Burritos,Los Angeles,78,4.4
Sazón Zapoteca Restaurant,Madera,78,4.3
Juanito's Tacos,Los Angeles,78,4.9
Tacos Jerez,Oxnard,78,4.5
Juanito's Express,Dinuba,78,4.2
Babita Mexicuisine,San Gabriel,78,4.6
La Rinconada Mexican Restaurant,Santa Ana,78,4.1
El Tepeyac Restaurant,San Bernardino,78,4.4
Acai Republic,Fullerton,78,4.9
El Cuco Restaurant,Los Angeles,78,4.1
Habanero's Mexican Food,Montclair,78,4.2
El Camaronero Restaurant # 1,Los Angeles,78,4.2
Tacos Panchito,Corona,78,4.2
Tortas Ahogadas Las Originales,Los Angeles,78,4.1
Mi Pueblo Restaurant,Fremont,78,4.2
Intiraymi Restaurant Peruvian Cuisine,Diamond Bar,78,4.0
El Chamango,El Monte,78,3.9
Mexico Lindo,Copperopolis,78,4.4
Eddie's Cocina Authentic Mexican,Ukiah,78,4.3
Sabor Mexicano Restaurant,Los Angeles,78,4.5
El Manjar Restaurant,San Fernando,78,4.1
Park Avenue Restaurant Polynesian and Mexican Store,Riverside,78,4.7
Cotija's | Mexican Restaurant,Cotati,78,4.7
Carnitas El Rincon,San Jose,78,4.1
Rosarito,Isla Vista,78,3.8
Mariscos Baja,Pomona,77,3.6
Ponce's Tacos,Fresno,77,4.5
7 Luminarias,Guadalupe,77,4.4
San Marcos Mexican Food,Manteca,77,4.3
Taqueria Los Compadres,Fresno,77,4.4
Taqueria Ahi,Sutter Creek,77,4.0
Martha's Kitchen,Los Angeles,76,4.4
Tacos El Compadre,Fremont,76,4.8
The Best Salsa,Orosi,76,4.6
Mexicalpan,Los Angeles,76,4.6
Los Compadres Taqueria,South San Francisco,76,4.4
Hermanos,Los Angeles,76,4.2
Inca's Palace,Richmond,75,4.2
Tacos El Jalicience 3,Watsonville,75,4.1
Taco Bell,Los Angeles,75,3.2
Taco Bell,Fresno,75,3.9
El Grullense Jal,Hollister,75,4.2
Campesino Cafe,Stockton,75,4.4
Senor Baja,Rancho Cucamonga,75,4.2
La Adelita Mexican Restaurant,Atascadero,75,4.3
Mi Casita Mexican Restaurant,Parlier,75,4.3
Carnitas Don Julián,Santa Ana,74,4.6
Taqueria Mila,Santa Rosa,74,4.2
Eve's Enchiladas,King City,74,4.1
LA ESTRELLA LATINA,Ontario,74,4.6
Tacos al Vapor Estilo Guadalajara,Pico Rivera,74,4.5
El Pirata Mexican seafood,Diamond Bar,74,4.6
El Primo Taco Truck,Los Angeles,74,4.2
Rosarito Grill,Santa Clarita,74,4.1
Taqueria Mi Ranchito,Salinas,73,4.0
Mi Jalisco Mexican Grille,Chico,73,4.4
Hortencias OC Mexican grill,Los Alamitos,73,4.5
Las Playas de Don Arturo,Oxnard,73,4.5
Taqueria Santa Rosa,Santa Rosa,73,4.1
Moreno's Rico Taco,San Bernardino,73,4.3
bestrouter,Madera,73,3.9
Cult Taco,Monterey,72,4.1
Arbol del Tule,Anaheim,72,4.0
El Paraiso Food Truck,Santa Ana,71,4.6
Tia Juanita's,Atascadero,70,4.4
La Luz Ultralounge,Bonita,68,3.9
El Cesar,Orosi,68,4.5
Fruit Palace,San Diego,68,4.5
Las Islas Maria,Rialto,68,3.5
Acapulco,Los Angeles,68,4.0
Carmen's Place,Julian,68,3.7
Simon's Restaurant,East Los Angeles,68,4.4
Quetzal taqueria and antojitos,Richmond,68,3.6
Paco's Tacos,Anaheim,68,4.5
Juanita's Tortilleria,Compton,68,4.8
Tacos el Pony,Los Angeles,68,4.4
High Tech Burrito - San Anselmo,San Anselmo,68,4.2
Rincon De Guayabitos,La Puente,68,4.5
Taqueria Durango,Fairfield,68,4.7
Supertacos Taqueria,Parlier,68,4.2
El CAMARONERO #2,Los Angeles,68,4.2
Taco Bell,Newman,68,3.5
Corazon Cocina,Garden Grove,68,4.1
Panchitos Mexican Food,Madera,68,4.6
Corazon Urban Kitchen,Pomona,68,4.5
Génesis Restaurant & Coffee Shop,Los Angeles,68,4.1
MARISCOS DEL PACIFICO,Delano,68,4.4
Guadalajara Market,Modesto,68,4.2
Tacos Del Sol,Oakdale,68,4.3
Las michoacanitas,East Palo Alto,68,4.8
Sylvia's Pupusería,Los Angeles,68,4.5
"Ahumadas Mexican Grill and Tacos,",Riverside,68,4.5
El Tenampa,Oxnard,68,4.1
Maya Mexican Grill,Orinda,68,4.2
Mr Pepe's,Pico Rivera,68,4.3
El Calabozo Taqueria,Antioch,68,4.2
Los Famosos Tacos Al Carbon,Los Angeles,68,4.5
La Michoacana,Nuevo,68,4.1
Healthy Life Shakes,Vacaville,67,4.6
Carniceria La Esperanza,La Puente,67,4.7
Don Pollo,Fullerton,67,4.5
Mikey V's,Tulare,67,4.5
El Pollo Feliz,Carmichael,67,4.5
La Cresta Restaurant & Taco Shop,El Cajon,67,4.6
Del Taco,Santa Clarita,67,3.8
