name,latitude,longitude
Rosa La Villa Restaurant,36.608961,-121.84793699999999
Morenos Taqueria,35.141069699999996,-120.64128269999999
Ponce's Tacos,36.7150308,-119.7183549
Ritual Açai,34.1179985,-118.2612554
Tacos Coco's Restaurants,34.004022899999995,-118.0776018
Nikkos Mexican Grill,37.4866278,-122.2320391
La Reyna Tacos #2,34.0343734,-118.2316338
Tinga,34.0723895,-118.3437551
Taqueria La Fortuna Taco Truck,33.7474521,-117.93789969999999
Tacos El Orejas,32.5444911,-117.04030189999999
Chronic Tacos,33.975212,-117.33255
Juanita's Tortilleria,33.9164603,-118.2302991
Taco Elgrullense,37.002786,-121.5620642
La Superior Mercados,38.679986,-121.7858821
Tacos El Guero #1,33.9701492,-118.2873644
Taqueria Y Pupuseria Zavala,34.0678884,-117.3323399
Tacos Gallo Loco,33.7127075,-117.86917109999999
Paleteria Penjamo,36.5401142,-119.389118
Taco Bell,34.106215899999995,-117.6002741
559 Taqueria,36.8145333,-119.70058069999999
Lalo's Mexican Antojitos,36.928418199999996,-121.7681308
El Silencito,34.0161321,-117.3353595
Tacos Cebrian,34.0480692,-118.21829389999999
La Serenata de Garibaldi,34.0467987,-118.2184753
Ubatuba Acai - Woodland Hills,34.166107499999995,-118.6061568
Doña Félix Restaurant,34.044522199999996,-118.35745279999999
Burritos El Potosino,38.6430976,-121.1912665
Arriba Baja Grill,33.6888267,-117.8965412
La Roca Restaurant,38.6707694,-121.76475219999999
Restaurante Las Fogatas,35.148891899999995,-119.4544305
Jose's Tacos Truck,33.9228065,-118.0281919
Del Taco,34.4462811,-118.4744633
Urban Chopsticks,33.888805999999995,-118.1376583
Tacos Jerez,34.1544787,-119.1780211
Taqueria Don Jose,33.9159933,-117.2329568
Golden Tamale,36.7361952,-119.7811907
Kayndaves,34.046943299999995,-118.49058099999999
El Forastero,34.1951789,-119.195343
Market Cocina,37.7237983,-122.45455279999999
El Torito,38.362024999999996,-122.71387399999999
Tacos El Venado,34.186828399999996,-118.3863222
Taqueria Michoacana,36.3161048,-119.2074584
Del Rosa,34.1449237,-117.25269069999999
La Cocina Rica Restaurant,34.147919,-119.17978799999999
Taqueria 3 Estrellas,34.3496664,-119.07698909999999
El Grullense Jal,37.4647577,-121.144235
Zacatecas Meat Market,34.0154199,-118.29999149999999
Sonora Express Mexican Fusión,32.7486911,-117.1269579
Los Pochos,33.9743882,-118.22339649999999
Tres De Asada Mexican Grill,33.901244,-118.2999687
Tacos Colima,34.2626437,-118.50255569999999
Mr. Carnitas Mexican Restaurant,38.61371,-121.4971123
Ceviche 19,33.8040962,-117.9420624
Tino’s Tacos & More,37.6795962,-121.77439419999999
Padrinos Taqueria,33.893084099999996,-118.3518682
El Chamango,34.074169999999995,-118.0364874
El Maguey Express,33.49718,-117.66839549999999
El Paiza Mex,33.1250139,-117.08657989999999
Cocina Los V,34.0186986,-118.1852873
Raspados El Diablito Loco Restaurant,38.6074212,-121.476535
La Esperanza Mariscos,36.9168702,-121.7509084
Taqueria Los Girasoles,37.321114,-120.52769199999999
El Tenampa,34.186300599999996,-119.1734848
Roger's Cafe,34.1933333,-119.16805559999999
Sylvia's Pupusería,33.9931918,-118.2649684
Ricos Tacos,33.914584,-118.22382689999999
Best Coast Burritos,37.8346988,-122.24970619999999
El Patron II Authentic Mexican Food,34.1149094,-117.77501459999999
Los Mariscos La Puente,34.052407599999995,-118.00162519999999
Maria's Restaurant Mexican Food,33.7825704,-117.9065955
Los Burritos,32.6799879,-117.0901877
Restaurante Panaderia Y Pupuseria Belen,34.2212083,-118.5365861
Fiesta Mexicana,34.0909097,-118.3107708
Taco Bell,36.6385345,-120.6261444
Pacos Grill-Tacos,33.829319,-117.91135299999999
Tacos Radioactivos,33.7578031,-117.8672701
Los Potrillos Restaurant,39.1558674,-122.15077169999999
Mi Taco Shop,32.8010659,-116.96006129999999
La Frutifresca,34.1751103,-119.1809052
Hub Liquor & Tacos,34.2884685,-118.4478257
Burritos Santana,33.839449,-117.88887419999999
"""TACOS"" MICHOACAN",34.193687499999996,-118.5319622
Sabra Fish Grill,34.2406054,-119.1787559
Olocuilta,34.0633537,-118.30958319999999
Delicias Oaxaqueñas,33.9286078,-118.2153137
Fondita Elisa,37.956202999999995,-121.3328932
Peruvian Rotisserie Chicken,33.685120999999995,-117.98779599999999
El Borrego Restaurant,34.0284154,-117.66672849999999
Rodeo Mexican Grill (Echo Park),34.077716599999995,-118.25898919999999
bestrouter,36.9530556,-120.05222219999999
Viva Baja Grill,34.052827199999996,-118.0907733
Gonzalez Restaurant,34.198003,-119.17721189999999
Casa 7 Mares Restaurant,34.2076238,-118.38750879999999
Arteaga Mexican Restaurant,36.6052156,-119.5257559
El Pollo Loco,34.23744,-118.52816
El CAMARONERO #2,34.318329999999996,-118.4644733
Sol y Luna Cocina Mexicana,37.934152999999995,-122.074255
Taco Bell,37.723656999999996,-121.94293599999999
Leyva's Mexican Food,33.9733764,-118.164188
El Cielito Lindo,34.0716505,-118.2220756
Lunch Taco Truck,33.9711072,-118.0673204
Sub Society Incredible Sandwiches,33.7930557,-118.3307504
Pedro's Cocina,38.449297,-121.8267108
El Primo Taco Truck,34.0591393,-118.2641074
EL GRULLENSE RICO,35.9604606,-119.04382319999999
America's most wanted menudo,33.9995068,-118.0843586
LA REYNA RESTAURANT,33.7225941,-117.8676742
La Doña Mexican Cuisine & Bar,38.4418935,-122.7170805
Burrito Factory,33.72683,-118.28779499999999
Chikali Mariscos Y Tacos,36.3354867,-119.29224789999999
Martita's Kitchen,37.7486566,-122.4031388
Taqueria Los Tres Amigos Inc.,34.0668782,-117.9730001
Azure Tavern & Lounge,34.1679011,-118.6164055
Del Taco,35.349048599999996,-119.1293475
Taqueria Los Primos #2,37.572880999999995,-122.3310357
Mi Rinconcito Oaxaqueño,37.3232692,-121.92328289999999
Taco Bell,34.6054524,-118.1529288
Baja Fresh,38.262516,-121.29812
Eve's Enchiladas,36.213223,-121.123008
La Michoacana,33.801802699999996,-117.1451247
Mariscos Y Sushi El Patron,38.6497775,-121.2923812
Taqueria Durango,37.5970201,-120.86641589999999
EK Valley,34.0314043,-118.37826679999999
Fresca's Mexican Grill,33.6330799,-117.71188099999999
La casita olvera,33.9157642,-117.9333671
Viva Mexico,33.929695099999996,-118.1837845
La Barca Market,37.9975361,-121.7130366
Gracie's Mexican Deli,34.238326199999996,-118.37496499999999
Corazon y Miel Closed,33.975727299999996,-118.18700369999999
Super Taco,34.064670299999996,-117.7073624
El Ranchito Autentica Comida Mexicana,33.8359972,-117.88904699999999
Tacos Estilo D.F,33.8319548,-118.22243259999999
El Pollo Grande Restaurants,33.942838,-118.361114
Taqueria La Cabaña E&E,34.066547199999995,-118.0169394
Taqueria Ramirez,39.4034461,-123.35994749999999
Tacos Guadalajara,33.795140499999995,-118.1934886
Pancheros Mexican Grill,37.5013724,-121.9696036
Tacos 210,34.1887702,-118.1506958
California Chicken Mexican Grill,34.0387029,-118.2502391
Market Cocina,37.8933586,-122.117205
Zapopana's café Tortas Y Raspados,34.1064757,-117.8997711
La Auténtica Michoacána,34.1075654,-117.39933769999999
Martinez Monkey Tacos,33.7973948,-117.903424
Daniela's Tacos,34.2145881,-118.3878173
TE AMO TACOS,34.186495799999996,-118.4490079
Taqueria El Limoncito,34.0790362,-117.351587
Mariscos-Land,33.9434286,-117.4527885
Mexico Lindo,37.9402536,-120.606719
Las Brisas Autentic Mexican,33.8040388,-117.94057509999999
Armando's Mexican Food,34.121834899999996,-117.38217119999999
Cerveteca DTLA,34.046635,-118.2341762
Cristi's Restaurant,33.820325499999996,-117.9936809
Yuri's Taqueria,37.7299241,-122.1391883
"Lopez Fine Wines Liquor & Taqueria, Toro Park",36.6054344,-121.6965469
Taqueria Los Altos,33.802107,-117.93732209999999
La Baja Mexican Food,32.748207,-116.97956839999999
Tacomania Willow Glen,37.3039317,-121.8974078
Taqueria Maria,37.687363999999995,-122.47271029999999
Olas Mexicali Grill,37.668757299999996,-120.9920736
El Arepazo SF,37.7624274,-122.4192659
Don Taco Truck,34.2632141,-118.9945755
One Stop Taco Shop,33.7077537,-116.19869399999999
Casa De Papi Mexican Grill,34.2005602,-118.61366059999999
Baja Fresh Mexican Grill,36.6394348,-120.62745659999999
Tacos Mi Rancho,37.7989629,-122.2565005
Los Nopales Restaurant,37.2791436,-121.8328239
Nuevo Amanecer,34.020584,-118.13045199999999
Tortas Ahogadas El Gallito,32.6148788,-117.08283279999999
Poquito Mas,34.093517299999995,-118.3782662
La Carreta Mexican Restaurant,36.747004,-119.78122359999999
Taqueria Los Primos #2,33.789611199999996,-118.21782239999999
YBÁ - Authentic Brazilian Açaí & Tapioca Crepes,33.425452299999996,-117.6155208
Gloria's Mexican Food,33.6428903,-117.9290434
Taqueria Don Jose # 4,34.0689243,-117.3369944
Papayin's Taco Shop Mexican Food,32.7047265,-117.1296677
Tacos los carnales,34.1045351,-117.6217329
Habanero's Mexican Food,34.0879287,-117.685913
La Baja Gourmet,34.556472899999996,-117.28949449999999
Javi's Tacos,37.475977199999996,-120.84830769999999
Lalo's Taqueria,36.7428392,-119.74405829999999
Taqueria Santa Cruz Express 2,35.2945347,-120.67048869999999
Mariscos Y Taqueria Ixpalino Sinaloa,37.574413,-122.316819
Birrieria Guadalajara,33.9182281,-118.1692003
Carnitas Michoacan,34.2494486,-118.6066511
Tacos Cortes,39.72156,-121.827756
Las Enchiladas Restaurant,33.917391699999996,-118.1693085
Mi Patria Restaurant,33.956015199999996,-118.1019383
Daniel's Taco Shop,32.7880952,-116.94428429999999
Juice Unwind,39.5050818,-121.5503134
Cotija's | Mexican Restaurant,38.328596399999995,-122.70890829999999
Birria Estilo Tlaquepaque,33.8963241,-118.19187919999999
Taqueria el azteca,37.994278699999995,-121.3029897
Taqueria El Jarocho 3,37.6375537,-122.0560675
The Patio Express: Fresh Peruvian Food,33.986457,-118.102654
Chipotle Mexican Grill,33.8039627,-117.8871662
Taqueria Lolita,33.896360099999995,-118.1959378
La Cocina De Mama,36.735255099999996,-119.7909528
Malbec Argentinean Cuisine,34.139246299999996,-118.2021893
Cafe Durango De Chi6ix,37.7060423,-122.46175099999999
Marisco & Tacos,34.012617,-118.136703
Carnitas Michoacanas,34.2282358,-118.3666856
Waffles N Cream,33.9474859,-118.0885813
Chipotle Mexican Grill,32.6825342,-117.1786497
Acapulco,33.13574,-117.18882599999999
Taco Camilas,33.7308843,-117.8835496
Taco's and Beer's,36.9961147,-120.07512559999999
Las Palmas,36.778810899999996,-119.8277471
El Kora,37.9412746,-122.34710419999999
El Comal Taco truck(The Grill On Wheels),37.9112126,-121.22632879999999
Tortilleria Zeamays,35.5945214,-119.33881439999999
La Parrilla Fresh,34.2062856,-118.5362308
Pili's Tacos,34.0414052,-118.46086729999999
Picanha Churrascaria,34.1833561,-118.3098442
Trujillo Family Restaurants,34.0099782,-118.25638749999999
Birrieria Nochistlan,34.035277,-118.2002591
TQLAS,33.677073199999995,-116.3028698
El Quiubole,33.9585869,-118.1851884
Tacos el Picosito,33.9356875,-118.3524375
El Charrito's Mexican Deli,39.3124063,-121.4176497
High Tech Burrito - San Anselmo,37.9816177,-122.5661263
El Tamborazo Restaurant,39.369338,-121.688278
Casa de las Fajitas,35.6746068,-119.2287903
Chronic Tacos,33.465804999999996,-117.691284
The Best Salsa,36.5450938,-119.2956701
DF Tamales,34.105877,-117.38837149999999
Bodegón No.69,34.1471559,-118.1491305
Don Pico’s Mexican Bistro & Cevicheria,37.622065899999996,-122.4123741
The Mexico Cafe Temecula,33.472986299999995,-117.12486969999999
Viva Jalisco,34.2940697,-118.42631879999999
Taqueria Los 3 Carnales,34.0211111,-118.1616667
Gringo Tacos Burritos and More,35.6167267,-120.6587776
Amorcito Corazón Mexican Bistro,32.7419444,-117.1302778
Mamá Por Dios,34.0734207,-118.3824994
Tacos Morelia,38.174896,-121.261552
Dia Y Noche,37.8991502,-122.06254899999999
Don Pollo,33.859601999999995,-117.9737315
South Tacos R&R,34.020449299999996,-117.6102528
El Ahorro Market & Deli,37.7414698,-122.4227394
George Lopez's Chingon Kitchen,33.828741,-118.34638899999999
La Casita Chilanga,37.3193489,-121.8817746
Supertacos Taqueria,36.6105377,-119.53093299999999
Huaraches Y Quesadillas Chayito,34.2674124,-118.41989319999999
TACOS CALIFORNIA,36.7717399,-119.8539428
The Latin Chef Liberty Station,32.7400003,-117.2111934
Tacos Y Mariscos El Picante,33.749213999999995,-117.8980495
Casa Jalisco Restaurant,34.2532703,-118.4075798
Tacos El Jalisciense,36.426595999999996,-121.3264729
Birrieria Sergio,39.2647195,-121.5970615
Pepe's,37.639846299999995,-122.05826769999999
La Casa Del Clamato,37.5944417,-120.9693028
Cilantro Fresh Mexican Grill,34.047433999999996,-118.2614258
Chronic Tacos,35.27977,-120.66158
Taquería at Tortilla Jo's,33.8092804,-117.9237479
Tacos El Venado,34.185204299999995,-118.46681339999999
El Chef Tacos,33.7518457,-117.98928219999999
Taqueria El Flamazo,36.6883099,-121.61071299999999
The Green Chili Jr,33.9009645,-118.0339465
Pipirin,37.7774381,-122.22361389999999
Taco mixes,34.0075558,-118.2738182
Taco Perron,33.7394447,-117.86748499999999
El Torito,37.3853124,-121.98057209999999
Patron Mexican Grill,37.898699,-122.06156899999999
La Pinata Mexican Restaurant,37.5299481,-122.0392176
Diaz Brothers Mexican Catering,32.704393599999996,-117.0934305
Taco Safary Mexican Food,33.974160999999995,-118.2229892
Tacos Del Sol,37.768823,-120.8399982
Mariscos Chinola,37.959758,-121.271671
Chico's Grill,37.736371999999996,-122.424143
Chitos Birerria,37.6070685,-120.99413059999999
La guacamaya taco truck,37.6143755,-120.9932558
Taco Bell,37.8196241,-121.99591679999999
El Torito,33.8875245,-117.8629503
El Pollo Feliz,38.6286639,-121.35418329999999
TAQUERIA LA GUADALUPANA,34.0101582,-117.95992779999999
Otra,37.771927999999996,-122.4334751
Mariscos Valencia Restaurant,33.734899999999996,-117.83638889999999
Red Top Cafe & Restaurant,37.081410399999996,-120.4740037
Evil Cooks,34.075254099999995,-118.1804913
Nossa Restaurant,34.1072714,-118.2872178
Tacos El Pollo y El Pollito,37.2605319,-121.8095733
Picca,34.055448999999996,-118.397616
El Mustacho,32.8015918,-116.9354671
Chipotle Mexican Grill,34.115649999999995,-118.150757
Tortilleria la rancherita,34.202843699999995,-119.1790686
Valenzuela's Cafe,34.8468972,-114.6126357
Sazón Zapoteca Restaurant,36.9671778,-120.0636516
Horchata Mexican Food,34.0009607,-118.3946644
La Güera Poblana Quesadillas,34.2253387,-118.465313
Restaurante La Carreta,36.0062557,-120.1255971
Taqueria Gonzalez,36.1441173,-120.35659249999999
Bionicos Y Jugos Guadalajara,33.7479521,-116.929125
T&L POLLOS GRILLED & ROTISSERIE CHICKEN,33.98211,-118.0369286
Puertos Del Pacifico,34.0267914,-118.21940989999999
Restaurant Cafe Valparaiso,37.890937,-122.28998469999999
La Kebrada Restaurant,36.7508906,-119.8440196
Tacos Raul,33.9039358,-118.20976089999999
Guacs Mexican Grill,34.0308828,-118.009023
Las Americas,37.5656563,-122.3227419
Taco Express,33.9521751,-118.3765411
Tacos Duran-Go,36.7501019,-119.7638212
Tacos La Mezcla,32.7557605,-117.14223849999999
El Pollo Habanero,33.935918799999996,-118.20889179999999
Tacos Los Carnalillos Taco Truck 2,34.0034096,-118.2829661
Maya Mexican Grill,37.878057999999996,-122.18104299999999
Xalisco Tacos,33.7308781,-118.2877863
Tacos El Puma,33.781239899999996,-118.2445798
El Paraiso Cafe,37.7510645,-122.41298289999999
Gaucho Grill Woodland Hills,34.1875212,-118.5978935
Viva Michoacán Restaurant,37.3251955,-121.84684499999999
Cactus Mexican Grill,34.155890299999996,-118.483374
El Tarasco Bravo,36.983986699999996,-120.6264291
Ranchero Catering,38.0691755,-122.12856319999999
Tacos Esquinita,34.054804499999996,-118.27745759999999
Oscar's Authentic Mexican Food,32.7536652,-117.2171245
Taqueria Hernandez,34.1714504,-119.17823539999999
Hornitos Cafe,37.778627199999995,-122.227605
Agave Birrieria,33.0646404,-117.2931912
Marielas Tacos,33.7595063,-117.9108411
Birrieria And Menuderia Del Toro,32.5951966,-117.0801675
MARISCOS DEL PACIFICO,35.776523399999995,-119.2331835
Los Cabos Grill & Cantina,33.946798,-118.1490886
Taqueria Chicolandia,33.7457341,-117.9010946
"tacos ""la chapis""",34.0161292,-118.1370379
La Gordita Mexican Food,33.5569138,-117.18500139999999
Ramones Mexican BBQ,33.376182799999995,-117.4789239
El Mesquite Restaurant,34.0725932,-117.39577729999999
Rero's Burrito Co,34.0684013,-117.92945089999999
El Uli Mar Y Tierra,34.293015,-118.4149753
Carrillo's Mexican Food Inc.,36.7857926,-119.8356354
Génesis Restaurant & Coffee Shop,34.269224799999996,-118.40772829999999
