name,city,rating,num_of_reviews,category
El Favorito Taqueria,El Dorado Hills,1.8,52,['Mexican restaurant']
Chili's,Modesto,2.1,789,['Mexican restaurant']
Olas Mexicali Grill,Modesto,2.3,44,['Mexican restaurant']
La Parrilla Mexican Restaurant & Bar,Modesto,2.3,457,['Mexican restaurant']
Los Arcos Mexican Restaurant,Modesto,2.6,16,['Mexican restaurant']
Tamales Coral,Modesto,2.8,14,['Mexican restaurant']
Guadalajara Market,Modesto,2.2,50,['Mexican restaurant']
Marthas Tamales ( Traila Truck ),Modesto,2.8,11,['Mexican restaurant']
Chitos Birerria,Modesto,1.8,56,['Mexican restaurant']
La guacamaya taco truck,Modesto,2.6,29,['Mexican restaurant']
Jessica's Tacos,Modesto,1.5,39,['Mexican restaurant']
Taqueria Valparaiso,Modesto,2.7,28,['Mexican restaurant']
Taco Bell,Alameda,1.5,474,['Mexican restaurant']
La Casa Del Clamato,Ceres,2.3,54,['Mexican restaurant']
El Palenque,Modesto,0.5,10,"['Latin American restaurant', 'Mexican restaurant']"
Don Fili's Grill,Riverbank,2.4,23,['Mexican restaurant']
TAQUERIA CAROLINA # 3,Modesto,2.1,90,['Mexican restaurant']
Taco Movil,Escalon,2.2,27,['Mexican restaurant']
La Cabaña Mexican Grill,Stockton,2.2,26,"['Latin American restaurant', 'Mexican restaurant']"
El Comal Taco truck(The Grill On Wheels),Stockton,2.4,13,['Mexican restaurant']
Taco Bell,Alameda,1.4,292,['Mexican restaurant']
El Mezcal Mexican Restaurant,San Andreas,2.6,219,['Mexican restaurant']
Mexico Lindo,Copperopolis,2.5,47,['Mexican restaurant']
Tacos Del Sol,Oakdale,2.1,41,['Mexican restaurant']
Taqueria Durango,Fairfield,2.2,13,['Mexican restaurant']
Javi's Tacos,Turlock,2.4,84,['Mexican restaurant']
Taco Truck REY de REYES,Turlock,2.4,50,['Mexican restaurant']
Tacos Mexico,Bell,2.2,65,['Mexican restaurant']
El Jardin,Turlock,2.5,266,['Mexican restaurant']
Salt & Pepper Taqueria and Catering,Turlock,2.8,23,['Mexican restaurant']
Taqueria Hidalgo,Turlock,1.8,31,['Mexican restaurant']
Tacos El Hidalguense,Turlock,1.9,37,['Mexican restaurant']
Hugo's Mexican Grill,Livingston,2.8,10,['Mexican restaurant']
La Michoacana Bakery & Taco Shop,Delhi,2.2,87,['Mexican restaurant']
Fina Estampa,Merced,2.0,21,['Mexican restaurant']
Tequila Restaurant,Merced,1.8,38,['Mexican restaurant']
La cruda (tacos y mariscos),Merced,2.8,20,['Mexican restaurant']
Chiquitas Mexican American Resturant,Merced,3.3,12,['Mexican restaurant']
Mariscos Archibaldo,Merced,1.9,21,['Mexican restaurant']
Taqueria Los Girasoles,Merced,2.0,10,"['Mexican restaurant', 'Latin American restaurant']"
Isabella's Bar & Grill,Atwater,2.6,519,['Mexican restaurant']
Cecilia's Mexican Restaurant,Los Banos,2.6,12,['Mexican restaurant']
Taco Bell,Alameda,1.7,48,['Mexican restaurant']
El Campestre Dos Restaurant,Newman,2.1,127,"['Mexican restaurant', 'Latin American restaurant']"
Rancho Fresco Mexican Grill,Modesto,2.9,14,['Mexican restaurant']
El Grullense Jal,Hollister,1.8,12,['Mexican restaurant']
Taqueria El Mexicano,Patterson,2.3,31,['Mexican restaurant']
Taco Elgrullense,Gilroy,1.9,11,['Mexican restaurant']
El Epazote Restaurant,Hollister,2.3,39,['Mexican restaurant']
R Mexican Food,Hollister,2.2,21,['Mexican restaurant']
El Grullense Jal,Hollister,2.1,51,['Mexican restaurant']
Taqueria 2 Gallos De Oro,Salinas,2.1,68,['Mexican restaurant']
Saltillo Tortilleria,Salinas,2.1,72,['Mexican restaurant']
Taqueria El Flamazo,Salinas,1.6,48,['Mexican restaurant']
Taqueria Mi Ranchito,Salinas,1.6,48,['Mexican restaurant']
Tacos Pacheco Taqueria,Salinas,2.5,29,['Mexican restaurant']
3 Queens Carnitas,Hollister,2.8,17,['Mexican restaurant']
Tacos El Jalisciense,Soledad,2.9,15,['Mexican restaurant']
Mi Lindo San Juan,Gonzales,2.5,32,['Mexican restaurant']
Lorena's Taqueria,King City,1.9,49,"['Mexican restaurant', 'Latin American restaurant']"
Eve's Enchiladas,King City,2.1,38,['Mexican restaurant']
Huarache King,King City,2.2,35,['Mexican restaurant']
Tacos Y Mariscos Sergio Taqueria,Coalinga,2.2,14,['Mexican restaurant']
Taqueria Gonzalez,Coalinga,3.0,14,['Mexican restaurant']
Cecilia's Restaurant,Mendota,2.4,28,['Mexican restaurant']
Taco Bell,Alameda,1.3,10,['Mexican restaurant']
Baja Fresh Mexican Grill,Firebaugh,1.1,15,['Mexican restaurant']
EL PRIMO TACO TRUCK,Firebaugh,2.6,26,['Mexican restaurant']
Las Muchitas Pupuseria & Restaurant,Dos Palos,2.0,60,['Mexican restaurant']
El Tarasco Bravo,Dos Palos,2.4,87,['Mexican restaurant']
Red Top Cafe & Restaurant,Chowchilla,2.0,10,['Mexican restaurant']
Taco's and Beer's,Madera,2.1,18,['Mexican restaurant']
Taqueria El Ramy,Madera,2.0,16,['Mexican restaurant']
Sunrise Food Market & Liquor,Madera,1.3,22,['Mexican restaurant']
Panchitos Mexican Food,Madera,2.8,31,['Mexican restaurant']
Sazón Zapoteca Restaurant,Madera,1.9,38,['Mexican restaurant']
Taqueria Guerrero,Madera,1.8,63,"['Mexican restaurant', 'Latin American restaurant']"
Chavinda Taqueria,Madera,2.0,77,"['Mexican restaurant', 'Latin American restaurant']"
Moreno Taco Shop,Madera,1.9,102,['Mexican restaurant']
bestrouter,Madera,1.6,50,['Mexican restaurant']
Closed,Madera,3.6,10,['Mexican restaurant']
Taqueria y Carniceria San Miguel,Madera,2.3,16,['Mexican restaurant']
Cafe Rio Mexican Grill,Fresno,2.5,374,['Mexican restaurant']
Casa Maria,Clovis,2.6,338,['Mexican restaurant']
El Pollo Loco,Burbank,1.8,493,['Mexican restaurant']
El Quetzal Restaurant,Clovis,2.5,16,"['Mexican restaurant', 'Latin American restaurant']"
Mariscos El Pescador,Fresno,1.9,19,['Mexican restaurant']
Viva Be Bowl'D,Fresno,2.4,12,['Mexican restaurant']
Carnitas Taqueria Nueva Italia,Fresno,2.7,12,['Mexican restaurant']
Mariscos del Rey,Fresno,2.7,19,['Mexican restaurant']
559 Taqueria,Clovis,1.7,21,['Mexican restaurant']
Lily's Cafe,Fresno,2.4,117,['Mexican restaurant']
Carrillo's Restaurant Taqueria,Fresno,2.3,15,['Mexican restaurant']
Taqueria Diego,Fresno,2.4,21,['Mexican restaurant']
Tacos Duran-Go,Fresno,2.4,26,['Mexican restaurant']
El Super Taco-N-More (Taco Truck),Fresno,2.6,11,['Mexican restaurant']
Golden Tamale,Fresno,2.6,15,['Mexican restaurant']
Ponce's Tacos,Fresno,1.9,42,['Mexican restaurant']
Tacos El Gordo,Fresno,2.1,56,['Mexican restaurant']
Lalo's Taqueria,Fresno,2.7,12,['Mexican restaurant']
Taco Bell,Alameda,1.7,21,['Mexican restaurant']
Taco's Bruno's,Fresno,2.5,32,['Mexican restaurant']
2 Amigos Taco Truck,Fresno,2.4,57,['Mexican restaurant']
La Carreta Mexican Restaurant,Fresno,1.8,26,['Mexican restaurant']
La Cocina De Mama,Fresno,2.4,33,"['Mexican restaurant', 'Latin American restaurant']"
Tutis Fruties ice cream parlor,Fresno,1.7,10,['Mexican restaurant']
Ornela's,Fresno,1.9,14,['Mexican restaurant']
